Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,64.0,1.0,64.0,64.0,0.1,32.66879693943049,0.0,0.0,0.0055158138275146484,,,,,,,,,,,,,,,,,,,,,13.778446038550943,10.200751992460695,31.850645833985375,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,124.0,2.0,60.0,124.0,0.1,31.936694529766484,0.0,0.0,5.616245746612549,,,,,,,,,,,,,,,,,,,,,12.576255527868652,10.572620829163146,31.244577107732713,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,150.0,3.0,26.0,150.0,0.1,9.241385057715526,0.0,0.0,8.354161262512207,,,,,,,,,,,,,,,,,,,,,3.279172665512493,3.1322224210146,9.174466326599076,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,183.0,4.0,33.0,183.0,0.1,11.046274311176093,0.0,0.0,11.824263334274292,,,,,,,,,,,,,,,,,,,,,3.2361768709055982,3.7082733712624494,10.961392297639193,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,209.0,5.0,26.0,209.0,0.1,4.002158997714146,0.0,0.0,14.528798341751099,,,,,,,,,,,,,,,,,,,,,1.0366527488697637,1.321658261873332,3.983168379834823,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,234.0,6.0,25.0,234.0,0.1,4.1027281312178685,0.0,0.0,17.16078519821167,,,,,,,,,,,,,,,,,,,,,1.0978965069443776,1.4113932016393602,4.08344352214503,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,262.0,7.0,28.0,262.0,0.1,5.437901316580858,0.0,0.0,20.03148055076599,,,,,,,,,,,,,,,,,,,,,1.7131523609265102,1.7453214417511782,5.400729107961734,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,307.0,8.0,45.0,307.0,0.1,11.30164828285786,0.0,0.0,24.550488233566284,,,,,,,,,,,,,,,,,,,,,2.4944862854782777,3.7231222241438124,11.211808805814167,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,382.0,9.0,75.0,382.0,0.1,37.19668723332894,0.0,0.0,31.45381450653076,,,,,,,,,,,,,,,,,,,,,14.887039362394374,12.41294010114294,36.204811402684754,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,417.0,10.0,35.0,417.0,0.1,14.461885983709944,0.0,0.0,34.965917110443115,,,,,,,,,,,,,,,,,,,,,5.173300781208366,4.867320442203725,14.309424996936526,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,460.0,11.0,43.0,460.0,0.1,15.583624842717915,0.0,0.0,39.10263514518738,,,,,,,,,,,,,,,,,,,,,4.943820519836316,5.122037267173221,15.401828816168479,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,490.0,12.0,30.0,490.0,0.1,7.692710826287986,0.0,0.0,42.16784167289734,,,,,,,,,,,,,,,,,,,,,3.269004963566339,2.1432309194219687,7.609852773074374,0.19576554177020467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,552.0,13.0,62.0,552.0,0.1,23.200777640178185,0.0,0.0,48.09670615196228,,,,,,,,,,,,,,,,,,,,,8.979566404828562,7.4054376589770055,22.689400634948054,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,578.0,14.0,26.0,578.0,0.1,5.757825743051355,0.0,0.0,50.76743936538696,,,,,,,,,,,,,,,,,,,,,1.4034640157134226,1.8723735768292609,5.732795536921116,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,618.0,15.0,40.0,618.0,0.1,14.008160362965343,0.0,0.0,54.649656772613525,,,,,,,,,,,,,,,,,,,,,6.332758074126592,4.377170896525672,13.782401059718662,0.25345634048955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,659.0,16.0,41.0,659.0,0.1,20.105101331253284,0.0,0.0,58.66103434562683,,,,,,,,,,,,,,,,,,,,,7.962729991944781,6.768084478924224,19.81824607548844,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,683.0,17.0,24.0,683.0,0.1,8.759905067466997,0.0,0.0,61.23340964317322,,,,,,,,,,,,,,,,,,,,,3.248273649560264,2.887788166632942,8.699336473488058,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,715.0,18.0,32.0,715.0,0.1,9.171985613544386,0.0,0.0,64.67638564109802,,,,,,,,,,,,,,,,,,,,,2.7449899046299646,3.1107624676521377,9.102341517289293,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,742.0,19.0,27.0,742.0,0.1,5.262994246963263,0.0,0.0,67.39100241661072,,,,,,,,,,,,,,,,,,,,,2.3807423617571892,1.6425909616623344,5.2091272485657045,0.3676439959674591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,785.0,20.0,43.0,785.0,0.1,21.957127510296854,0.0,0.0,71.5889413356781,,,,,,,,,,,,,,,,,,,,,10.172794513914196,6.296496531287822,21.562801386169497,0.6534964125368025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,47.0,1.0,47.0,832.0,0.1,21.848491427249662,0.0,0.0,153.380784034729,,,,,,,,,,,,,,,,,,,,,9.170037208092788,6.759934951771602,21.46039901610248,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,118.0,2.0,71.0,903.0,0.1,33.74118503817831,0.0,0.0,159.8910882472992,,,,,,,,,,,,,,,,,,,,,11.805314991273724,10.896140670741854,32.96891252994526,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,168.0,3.0,50.0,953.0,0.1,20.569661712524873,0.0,0.0,164.63585996627808,,,,,,,,,,,,,,,,,,,,,6.882809780695988,6.881645515072714,20.26603302350403,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,202.0,4.0,34.0,987.0,0.1,10.169522361745322,0.0,0.0,168.06429839134216,,,,,,,,,,,,,,,,,,,,,2.848047113604505,3.2693965846838995,10.092864395809999,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,240.0,5.0,38.0,1025.0,0.1,9.568307121049214,0.0,0.0,171.82875895500183,,,,,,,,,,,,,,,,,,,,,2.7656577260214625,3.1728797726227387,9.482166979251925,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,268.0,6.0,28.0,1053.0,0.1,5.889572855644808,0.0,0.0,174.92158675193787,,,,,,,,,,,,,,,,,,,,,1.4781708983765198,1.7611658398274375,5.859898006605473,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,297.0,7.0,29.0,1082.0,0.1,7.308526017210433,0.0,0.0,177.9021553993225,,,,,,,,,,,,,,,,,,,,,2.741484438545286,2.4206361087062302,7.243502730450792,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,352.0,8.0,55.0,1137.0,0.1,21.447490343963832,0.0,0.0,183.05938816070557,,,,,,,,,,,,,,,,,,,,,7.610066265805637,7.1160339025471675,21.071057743774304,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
